DATE,TOTALSL
2004-06-01,2127.98941
2004-07-01,2137.09298
2004-08-01,2143.43512
2004-09-01,2160.1483
2004-10-01,2176.71934
2004-11-01,2183.74635
2004-12-01,2192.24617
2005-01-01,2196.77763
2005-02-01,2211.55871
2005-03-01,2220.19919
2005-04-01,2232.53538
2005-05-01,2232.67152
2005-06-01,2247.83343
2005-07-01,2257.23094
2005-08-01,2267.04488
2005-09-01,2271.63328
2005-10-01,2276.84314
2005-11-01,2283.66127
2005-12-01,2290.92813
2006-01-01,2367.47108
2006-02-01,2374.97732
2006-03-01,2385.80789
2006-04-01,2397.6806
2006-05-01,2407.16145
2006-06-01,2395.81318
2006-07-01,2403.09925
2006-08-01,2415.73203
2006-09-01,2426.81323
2006-10-01,2429.39986
2006-11-01,2440.74907
2006-12-01,2456.7157
2007-01-01,2457.94558
2007-02-01,2470.04992
2007-03-01,2484.43318
2007-04-01,2493.72977
2007-05-01,2510.01606
2007-06-01,2519.12104
2007-07-01,2533.66767
2007-08-01,2552.76707
2007-09-01,2566.99536
2007-10-01,2582.32603
2007-11-01,2597.6493
2007-12-01,2609.47653
2008-01-01,2619.42765
2008-02-01,2634.49642
2008-03-01,2645.60364
2008-04-01,2654.24323
2008-05-01,2660.19315
2008-06-01,2662.40952
2008-07-01,2665.32126
2008-08-01,2662.23778
2008-09-01,2657.38913
2008-10-01,2660.7295
2008-11-01,2651.48139
2008-12-01,2643.78896
2009-01-01,2647.02886
2009-02-01,2638.53274
2009-03-01,2622.82785
2009-04-01,2615.97301
2009-05-01,2610.01078
2009-06-01,2591.47541
2009-07-01,2590.85498
2009-08-01,2582.12601
2009-09-01,2576.59439
2009-10-01,2563.42273
2009-11-01,2551.56929
2009-12-01,2555.01664
2010-01-01,2543.50802
2010-02-01,2530.02428
2010-03-01,2536.55195
2010-04-01,2532.76479
2010-05-01,2521.68794
2010-06-01,2518.41641
2010-07-01,2521.1048
2010-08-01,2520.42213
2010-09-01,2522.09423
2010-10-01,2530.106
2010-11-01,2531.23226
2010-12-01,2646.81126
2011-01-01,2657.3601
2011-02-01,2663.77992
2011-03-01,2672.03136
2011-04-01,2679.97392
2011-05-01,2683.971
2011-06-01,2693.0883
2011-07-01,2717.49471
2011-08-01,2709.1147
2011-09-01,2720.06046
2011-10-01,2727.95336
2011-11-01,2746.76076
2011-12-01,2756.22486
2012-01-01,2768.93869
2012-02-01,2775.55026
2012-03-01,2789.26339
2012-04-01,2802.46831
2012-05-01,2818.68308
2012-06-01,2830.18157
2012-07-01,2839.9813
2012-08-01,2857.58489
2012-09-01,2867.81996
2012-10-01,2884.88214
2012-11-01,2902.46174
2012-12-01,2912.90502
2013-01-01,2929.74576
2013-02-01,2948.63979
2013-03-01,2959.31867
2013-04-01,2971.53502
2013-05-01,2986.37157
2013-06-01,2999.85686
2013-07-01,3014.41701
2013-08-01,3029.77491
2013-09-01,3047.11429
2013-10-01,3064.17636
2013-11-01,3076.04248
2013-12-01,3090.46778
2014-01-01,3109.31153
2014-02-01,3125.68715
2014-03-01,3144.11023
2014-04-01,3168.27326
2014-05-01,3186.24512
2014-06-01,3204.1427
2014-07-01,3226.22583
2014-08-01,3242.36063
2014-09-01,3259.29886
2014-10-01,3269.04838
2014-11-01,3282.70768
2014-12-01,3309.53985
2015-01-01,3315.66497
2015-02-01,3331.14863
2015-03-01,3356.75041
2015-04-01,3378.00607
2015-05-01,3393.91449
2015-06-01,3419.25662
2015-07-01,3437.64995
2015-08-01,3451.62258
2015-09-01,3479.4342
2015-10-01,3494.95435
2015-11-01,3511.84617
2015-12-01,3400.22322
2016-01-01,3417.71367
2016-02-01,3434.49839
2016-03-01,3464.14452
2016-04-01,3482.64439
2016-05-01,3499.475
2016-06-01,3520.05887
2016-07-01,3537.75815
2016-08-01,3558.194
2016-09-01,3578.87638
2016-10-01,3593.67807
2016-11-01,3618.56696
2016-12-01,3636.43566
2017-01-01,3651.7513
2017-02-01,3668.05269
2017-03-01,3684.33071
2017-04-01,3696.81924
2017-05-01,3710.53368
2017-06-01,3727.88081
2017-07-01,3742.93618
2017-08-01,3752.6499
2017-09-01,3767.90024
2017-10-01,3790.1008
2017-11-01,3816.03715
2017-12-01,3830.7516
2018-01-01,3845.53142
2018-02-01,3861.97067
2018-03-01,3875.00413
2018-04-01,3878.50611
2018-05-01,3897.96392
2018-06-01,3904.85384
2018-07-01,3925.78273
2018-08-01,3941.34717
2018-09-01,3954.64329
2018-10-01,3970.67881
2018-11-01,3992.10932
2018-12-01,4007.04192
2019-01-01,4022.38343
2019-02-01,4037.59338
2019-03-01,4050.13884
2019-04-01,4067.01451
2019-05-01,4083.09423
2019-06-01,4099.58058
2019-07-01,4120.99586
2019-08-01,4131.03977
2019-09-01,4144.88934
2019-10-01,4158.17333
2019-11-01,4165.45642
2019-12-01,4192.19141
2020-01-01,4201.07962
2020-02-01,4216.77182
2020-03-01,4203.49052
2020-04-01,4139.76451
2020-05-01,4124.98977
2020-06-01,4144.80186
2020-07-01,4157.81235
2020-08-01,4146.75596
2020-09-01,4163.4196
2020-10-01,4162.36037
2020-11-01,4174.22676
2020-12-01,4184.92179
2021-01-01,4184.46154
2021-02-01,4207.48499
2021-03-01,4222.88335
2021-04-01,4239.51945
2021-05-01,4272.60449
2021-06-01,4307.12896
2021-07-01,4321.06008
2021-08-01,4332.81763
2021-09-01,4358.80114
2021-10-01,4372.75767
2021-11-01,4411.21508
2021-12-01,4431.89944
2022-01-01,4440.83037
2022-02-01,4482.65058
